scientific_name;genus;species-tobesplit;country_id;locality;ddlat;ddlong;recorded_by;colnum;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;barcode;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;prel_bc;prel_bc2;prel_herbCode;prel_code;prel_code_X;tmp_hc;st_barcode
Mezzettia umbellata Becc.;Mezzettia;Mezzettia umbellata;ID;Central Kalimantan, Arboretum Nyaru Menteng.;-1.95;113.616667;"Sidiyasa K; Ambriansyah; Adriansyah";"Sidiyasa, K; Ambriansyah; Adriansyah  2520 ";9;10;2001;Kessler PJA;;;Botany;l.4407413;0;0;0;0;0;0;;;;0;0;0;4407413;4407413;;l.;;;
Phaeanthus splendens Miq.;Phaeanthus;Phaeanthus splendens;ID;East Kalimantan, Meratus mountain forest, ITCI kenangan.;-1.0;116.333333;"Adriansyah; Abadi F; Gozali I; Budiarti I";"Adriansyah; Abadi, F; Gozali, I; Budiarti, I AA 3036 ";5;12;2000;Kessler PJA;;;Botany;l.4407683;0;0;0;0;0;0;;;;0;0;0;4407683;4407683;;l.;;;
Artabotrys suaveolens (Blume) Blume;Artabotrys;Artabotrys suaveolens;ID;South Kalimantan, Pulau Sebuku east of Pulau Laut, Daeng Setuju disturbed forest.;-3.516667;116.35;Ambriansyah;Ambriansyah AA 2424 ;29;4;2001;Ambriansyah;;;Botany;l.4407405;0;0;0;0;0;0;;;;0;0;0;4407405;4407405;;l.;;;
Polyalthia Blume;Polyalthia;;ID;West Kalimantan, Kabupaten Sintang. Areal Plasma Nutfah Tegua Tibun, PT. Halisa.;0.683333;110.95;"Albertus; Sidiyasa K";"Albertus; Sidiyasa, K  2249 ";17;10;2000;Sidiyasa K;;;Botany;l.4407675;0;0;0;0;0;0;;;;0;0;0;4407675;4407675;;l.;;;
Fissistigma Griff.;Fissistigma;;ID;South Kalimantan, Pulau Sebuku east of Pulau Laut, kampung Kuari.;-3.6;116.383333;Ambriansyah;Ambriansyah AA 2453 ;2;5;2001;Kessler PJA;2001-10-01T00:00:00;;Botany;l.4407400;0;0;0;0;0;0;01;10;2001;0;0;0;4407400;4407400;;l.;;;
Xylopia L.;Xylopia;;ID;East Kalimantan, Sungai Wain, km 15, plot 58 Karl.;-1.205555;116.811111;Arbainsyah;Arbainsyah AA 2402 ;1;2;2000;Arbainsyah;;;Botany;l.4407684;0;0;0;0;0;0;;;;0;0;0;4407684;4407684;;l.;;;
Enicosanthum Becc.;Enicosanthum;;ID;East Kalimantan, PT. Aya Yayang Indonesia, Km 70.;-1.583333;115.55;"Sidiyasa K; Arifin Z";"Sidiyasa, K; Arifin, Z  2464 ";27;2;2001;Sidiyasa K;;;Botany;l.4407406;0;0;0;0;0;0;;;;0;0;0;4407406;4407406;;l.;;;
Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;Hubera rumphii;ID;East Kalimantan, Wanariset area, Wartono Kadri, Semoi road.;-0.990694;116.946944;"Slik JWF; Arifin Z";"Slik, JWF; Arifin, Z  117 ";5;12;2001;Arifin Z;;;Botany;l.4407668;0;0;0;0;0;0;;;;0;0;0;4407668;4407668;;l.;;;
Polyalthia Blume;Polyalthia;;ID;West Kalimantan, Kabupaten Sintang. Areal Plasma Nutfah Tegua Tibun, PT. Halisa.;0.683333;110.95;"Albertus; Sidiyasa K";"Albertus; Sidiyasa, K  2241 ";16;10;2000;Sidiyasa K;;;Botany;l.4407676;0;0;0;0;0;0;;;;0;0;0;4407676;4407676;;l.;;;
Desmos Lour.;Desmos;;ID;East Kalimantan, Sungai Wain, km 15, near camp Karl.;-1.205555;116.811111;Arbainsyah;Arbainsyah AA 2393 ;1;2;2000;Arbainsyah;;;Botany;l.4407401;0;0;0;0;0;0;;;;0;0;0;4407401;4407401;;l.;;;
